question id,None,383178370323,None
media identifier,None,706103248382,None
question title,,Finding the Angle of Elevation,
question start-time,00:01:32.940,00:06:01.000,00:08:25.110
question end-time,00:01:37.540,00:06:05.110,00:08:30.770
